question_id,job_role,category,skill,difficulty,question,ideal_answer,keywords,evaluation_criteria,follow_up_questions,expected_duration,weight,tags
SE011,Software Engineer,Software Design,SOLID Principles,Hard,What are the SOLID Principles?,"SOLID is a set of five object-oriented design principles that improve code maintainability, scalability, and readability. Single Responsibility Principle: a class should have only one reason to change (e.g., separate classes for user data, email notifications, and logging instead of one). Open/Closed Principle: software entities should be open for extension but closed for modification (e.g., a common Payment interface with separate implementations like CreditCardPayment, PayPalPayment). Liskov Substitution Principle: a subclass should be able to replace its parent without breaking the application (e.g., Penguin should not inherit from Bird if Bird has a fly() method). Interface Segregation Principle: clients should not be forced to implement methods they do not use (e.g., smaller interfaces like Printable, Scannable instead of one large interface). Dependency Inversion Principle: high-level modules should depend on abstractions, not concrete implementations (e.g., NotificationService depending on a Notification interface).",SOLID|single responsibility|open closed|Liskov substitution|interface segregation|dependency inversion,Explains all five principles|Provides practical examples|Shows understanding of maintainability|Demonstrates knowledge beyond memorized definitions,Can you give an example from your own code where you applied SRP?|What problems arise when SOLID principles are violated?,6-7 minutes,8,"SOLID, Software Design"
SE012,Software Engineer,System Design,Architecture,Hard,What is the difference between Monolithic and Microservices Architecture?,"A monolithic application is built as one single deployable unit. Advantages: easier to develop initially, simpler deployment, easier debugging in small projects. Disadvantages: difficult to scale individual components, large codebase becomes harder to maintain, one failure may affect the whole system. Microservices architecture divides an application into multiple independent services, each often with its own database, deployable independently, and communicating via APIs or messaging systems. Advantages: independent deployment, better scalability, technology flexibility, fault isolation. Disadvantages: more complex infrastructure, distributed system challenges, service communication overhead. Monoliths suit small startups and simple applications; microservices suit large organizations and high-traffic systems.",monolith|microservices|scalability|deployment|fault isolation|distributed systems,Explains architecture differences|Discusses trade-offs|Mentions scalability and deployment|Understands distributed system challenges,What challenges have you faced with service-to-service communication?|When would you migrate a monolith to microservices?,6-7 minutes,8,"System Design, Architecture"
SE013,Software Engineer,Backend Performance,Caching,Hard,Explain Caching.,"Caching stores frequently accessed data in faster storage to reduce response time and database load, resulting in faster responses, reduced database queries, lower server load, and better user experience. Types include browser cache (stores static assets on the user's device), application cache (stores computed results within the application), and distributed cache such as Redis or Memcached, shared across multiple servers. Cache strategies: Cache Aside (check cache first, then read database and store in cache if missing), Write Through (updates cache and database simultaneously), and Write Back (updates cache immediately, database later). Common problems include cache invalidation, stale data, and cache stampede.",cache|Redis|Memcached|cache aside|write through|invalidation|stale data,Explains why caching improves performance|Knows common cache strategies|Mentions Redis or Memcached|Understands cache consistency issues,How would you handle cache invalidation for frequently updated data?|Where in a system's architecture would you introduce caching?,5-6 minutes,7,"Caching, Performance"
SE014,Software Engineer,Security,AuthN/AuthZ,Hard,Explain Authentication vs Authorization.,"Authentication verifies who the user is (e.g., username/password, fingerprint, face recognition, OTP). Authorization determines what the authenticated user is allowed to do (e.g., an admin can delete users, a customer can view only their own orders). Authentication happens first: the user logs in, identity is verified, then permissions are checked. Common authentication technologies include JWT, OAuth, and OpenID Connect; common authorization approaches include RBAC (Role-Based Access Control) and ABAC (Attribute-Based Access Control).",authentication|authorization|JWT|OAuth|RBAC|ABAC,Clearly distinguishes the two concepts|Mentions practical examples|Understands role-based permissions,What is the difference between JWT and session-based authentication?|What is OAuth used for?,4-5 minutes,6,Security
SE015,Software Engineer,DevOps,CI/CD,Hard,What is CI/CD?,"CI/CD stands for Continuous Integration and Continuous Deployment (or Delivery). Continuous Integration: developers frequently merge code into a shared repository, and each commit automatically triggers a build, unit tests, and static analysis to detect issues early. Continuous Delivery: software is always ready for deployment, but deployment is performed manually. Continuous Deployment: every successful build is automatically deployed to production. Benefits include faster releases, better software quality, reduced integration problems, and more reliable deployments. Common tools: GitHub Actions, Jenkins, GitLab CI, Azure DevOps, and CircleCI.",CI/CD|continuous integration|continuous deployment|pipeline|automation|Jenkins,Explains CI and CD separately|Understands automated pipelines|Mentions testing within CI/CD,What does a typical CI/CD pipeline look like at your previous company?|What is the difference between continuous delivery and continuous deployment?,5-6 minutes,7,"DevOps, CI/CD"
SE016,Software Engineer,Testing,Software Testing,Hard,What types of software testing do you know?,"Unit Testing tests individual functions or classes (e.g., a login validation function). Integration Testing tests interaction between modules (e.g., an API communicating with a database). System Testing tests the complete application. Acceptance Testing confirms the application meets business requirements, usually before release. Regression Testing ensures new changes do not break existing functionality. Performance Testing measures speed, scalability, and stability. Load Testing evaluates the system under expected traffic. Stress Testing pushes the application beyond expected limits.",unit testing|integration testing|regression testing|load testing|stress testing|acceptance testing,Knows different testing levels|Explains objectives|Mentions automation if possible,What testing frameworks have you used?|What is test coverage and how much is enough?,5-6 minutes,6,"Testing, QA"
SE017,Software Engineer,System Design,System Design,Hard,How would you design a URL Shortener like Bit.ly?,"The system should accept a long URL, generate a unique short code, store the mapping, and redirect users quickly. Components: Client -> API Server -> Database -> Cache (Redis). Considerations include unique ID generation, Base62 encoding, database indexing, caching popular URLs, high availability, analytics, and rate limiting. Scaling approaches include load balancers, multiple application servers, database replication, and a CDN for redirects.",URL shortener|system design|Base62|caching|load balancing|database replication|scalability,Thinks systematically|Discusses scalability|Mentions caching|Considers database design,How would you handle collisions in short code generation?|How would you ensure the system remains available if the database goes down?,10-12 minutes,10,"System Design, Senior"
SE018,Software Engineer,Security,API Security,Hard,How do you secure a REST API?,"Security involves multiple layers. Authentication using JWT or OAuth2. Authorization via Role-Based Access Control. HTTPS to encrypt communication using TLS. Input validation to prevent SQL injection, XSS, and command injection. Rate limiting to protect against abuse and brute-force attacks. Logging to monitor suspicious activity. Secrets management to avoid hardcoding passwords, API keys, or tokens, using secure secret management services instead.",HTTPS|JWT|OAuth2|RBAC|rate limiting|SQL injection|XSS|secrets management,Mentions HTTPS|Understands authentication|Knows common attack vectors|Explains defense mechanisms,How would you protect an API against brute-force login attempts?|How do you manage secrets in a CI/CD pipeline?,6-8 minutes,8,"Security, APIs"
SE019,Software Engineer,Cloud,Cloud Computing,Hard,What is Cloud Computing?,"Cloud computing provides computing resources over the internet instead of local infrastructure. Service models: IaaS provides virtual machines (e.g., AWS EC2), PaaS provides a platform for deploying applications (e.g., Google App Engine), and SaaS provides complete software (e.g., Gmail, Microsoft 365). Benefits include scalability, high availability, pay-as-you-go pricing, and global deployment. Major providers include AWS, Microsoft Azure, and Google Cloud Platform.",cloud computing|IaaS|PaaS|SaaS|AWS|Azure|GCP|scalability,Explains cloud concepts|Knows service models|Mentions business benefits,What is the difference between IaaS and PaaS?|What are the trade-offs of cloud versus on-premise infrastructure?,4-5 minutes,6,Cloud
SE020,Software Engineer,Behavioral,Project Experience,Hard,Describe a software project you are most proud of.,"A strong response should follow the STAR framework. Situation: describe the project and its purpose. Task: explain your responsibilities. Action: detail the technologies used, challenges faced, architectural decisions, collaboration with the team, testing approach, and deployment process. Result: quantify the outcome whenever possible, such as reduced response time by 35%, increased user engagement by 20%, automated a manual process saving hours per week, or improved system reliability and reduced production issues. The candidate should also reflect on lessons learned and how they would improve the project given another opportunity.",STAR|project experience|impact|collaboration|results,Clearly explains the project's purpose and their role|Describes technical decisions and challenges|Quantifies results where possible|Reflects on lessons learned,What would you do differently if you started the project again?|How did you measure the success of the project?,5-6 minutes,7,"Behavioral, Projects"
SE021,Software Engineer,Database,Database Indexing,Hard,What is Database Indexing?,"A database index is a data structure that improves the speed of data retrieval operations by allowing the database engine to locate records without scanning the entire table. Without an index, the database performs a full table scan. With an index, it can quickly locate required rows. Common types: Primary Index, Secondary Index, Composite Index, Unique Index. Advantages: faster SELECT queries, improved filtering, sorting, and joins. Disadvantages: increased storage requirements, slower INSERT/UPDATE/DELETE operations because indexes must also be updated. Example: If a Users table has one million records and queries frequently search by email, creating an index on the email column significantly reduces query time.",index|full table scan|primary index|composite index|query performance,Explains the purpose of indexing|Discusses benefits and trade-offs|Mentions common index types|Provides a practical example,How would you decide which columns to index?|What is the downside of over-indexing a table?,5-6 minutes,7,"Databases, Performance"
SE022,Software Engineer,Distributed Systems,CAP Theorem,Hard,What is the CAP Theorem?,"The CAP Theorem states that a distributed system can guarantee only two of the following three properties simultaneously: Consistency (every client receives the same, most recent data), Availability (every request receives a response, even if the data is not the latest), and Partition Tolerance (the system continues to operate despite communication failures between nodes). Since network partitions are inevitable in distributed systems, a system typically chooses between CP (Consistency + Partition Tolerance, prioritizing accurate data, possibly sacrificing availability) and AP (Availability + Partition Tolerance, prioritizing uptime, allowing temporary data inconsistency).",CAP theorem|consistency|availability|partition tolerance|distributed systems|CP|AP,Defines all three CAP properties|Explains why all three cannot be guaranteed simultaneously|Provides examples of CP and AP systems,Can you name a real-world system that is CP versus AP?|How does eventual consistency relate to the CAP theorem?,7-8 minutes,9,"Distributed Systems, Senior"
SE023,Software Engineer,Databases,ACID vs BASE,Hard,Explain ACID vs BASE.,"ACID is used primarily in relational databases: Atomicity (transactions complete fully or not at all), Consistency (the database remains in a valid state), Isolation (concurrent transactions do not interfere), Durability (committed data is permanently stored). BASE is commonly used in distributed NoSQL databases: Basically Available (the system remains available), Soft State (data may change over time), Eventually Consistent (data becomes consistent after propagation). Use cases: ACID suits banking, payment systems, and inventory management; BASE suits social media, analytics, and recommendation systems.",ACID|BASE|atomicity|consistency|isolation|durability|eventual consistency,Correctly explains ACID and BASE|Compares their strengths|Identifies suitable use cases,Can you give an example where you chose an eventually consistent system over a strongly consistent one?|How does isolation level affect performance?,6-7 minutes,8,"Databases, Distributed Systems"
SE024,Software Engineer,Concurrency,Deadlocks,Hard,What is a Deadlock?,"A deadlock occurs when two or more processes or threads wait indefinitely for resources held by each other. Example: Thread A locks Resource 1 and waits for Resource 2, while Thread B locks Resource 2 and waits for Resource 1 - neither thread can continue. Ways to prevent deadlocks: acquire locks in a consistent order, reduce lock duration, use timeouts, avoid unnecessary locking, and detect and recover from deadlocks.",deadlock|lock ordering|timeout|thread|resource contention,Defines deadlock accurately|Explains a real scenario|Suggests prevention techniques,Have you encountered a deadlock in production? How did you resolve it?|What tools can help detect deadlocks?,5-6 minutes,7,Concurrency
SE025,Software Engineer,System Design,Message Queues,Hard,What is a Message Queue?,"A message queue enables asynchronous communication between services. Instead of one service waiting for another to finish processing, it places a message in a queue, and another service processes it later. Common technologies: Apache Kafka, RabbitMQ, Amazon SQS, Azure Service Bus. Benefits: loose coupling between services, better scalability, improved fault tolerance, and the ability to handle traffic spikes. Example: When an e-commerce customer places an order, separate services can asynchronously process payment, inventory updates, and email notifications.",message queue|Kafka|RabbitMQ|asynchronous|SQS|loose coupling,Explains asynchronous communication|Mentions common messaging systems|Discusses scalability and reliability,What is the difference between a message queue and a pub/sub system?|How do you handle message ordering or duplicate processing?,6-7 minutes,8,"System Design, Messaging"
SE026,Software Engineer,DevOps,Docker,Hard,"What is Docker, and why is it used?","Docker is a platform for packaging applications and their dependencies into lightweight, portable containers, ensuring an application runs consistently across different environments. Advantages: environment consistency, faster deployment, lightweight compared to virtual machines, simplified dependency management, and easy scaling. Common Docker components: Docker Image, Docker Container, Dockerfile, Docker Compose.",Docker|container|Dockerfile|image|Docker Compose,Defines Docker correctly|Explains containers|Mentions key benefits and components,What is the difference between a Docker image and a container?|How do containers differ from virtual machines?,5-6 minutes,6,"DevOps, Docker"
SE027,Software Engineer,DevOps/Cloud,Kubernetes,Hard,What is Kubernetes?,"Kubernetes is a container orchestration platform used to deploy, scale, and manage containerized applications. Key features: automatic scaling, load balancing, self-healing (restarts failed containers), rolling updates, and service discovery. Core components: Pods, Nodes, Deployments, Services, ConfigMaps, Secrets.",Kubernetes|orchestration|pods|nodes|deployments|self-healing,Explains Kubernetes' role|Understands orchestration concepts|Mentions major Kubernetes components,How does Kubernetes handle a failed pod?|What is the difference between a Deployment and a Service in Kubernetes?,7-8 minutes,8,"DevOps, Kubernetes, Senior"
SE028,Software Engineer,Operations/Monitoring,Application Monitoring,Hard,How do you monitor a production application?,"Monitoring involves continuously tracking the application's health and performance. Metrics to monitor include CPU usage, memory usage, disk utilization, network latency, error rates, response times, throughput, and database performance. Logging involves collecting structured logs for debugging and auditing. Alerting involves configuring alerts for critical thresholds. Common tools: Prometheus, Grafana, ELK Stack (Elasticsearch, Logstash, Kibana), Datadog, New Relic.",monitoring|Prometheus|Grafana|ELK stack|logging|alerting,Mentions monitoring metrics|Discusses logging and alerting|Identifies commonly used monitoring tools,"How would you set up alerting thresholds for a critical service?|What is the difference between logging, metrics, and tracing?",6-7 minutes,7,"Monitoring, Operations"
SE029,Software Engineer,Software Engineering Best Practices,Code Review,Hard,How do you perform a Code Review?,"A code review aims to improve code quality, maintainability, and knowledge sharing. Checklist: correctness, readability, maintainability, security, performance, error handling, test coverage, coding standards, and documentation. A reviewer should provide constructive feedback and focus on improving the code rather than criticizing the developer.",code review|readability|maintainability|test coverage|constructive feedback,Understands the objectives of code reviews|Mentions both technical and collaborative aspects|Demonstrates awareness of quality standards,How do you handle disagreements during a code review?|What do you do when a reviewer and author can't agree on an approach?,5-6 minutes,6,"Best Practices, Code Review"
SE030,Software Engineer,Leadership/Behavioral,Mentoring,Hard,How do you mentor junior developers?,"Effective mentoring involves both technical guidance and professional development. A senior engineer should explain concepts clearly, encourage independent problem-solving, conduct regular code reviews, share best practices, help juniors set learning goals, provide constructive feedback, and foster collaboration and continuous learning. A good mentor balances support with opportunities for juniors to solve problems on their own, helping them build confidence and technical competence.",mentoring|coaching|feedback|leadership|professional development,Demonstrates leadership skills|Shows a collaborative mindset|Emphasizes coaching rather than simply giving answers|Highlights the importance of continuous learning,Can you describe a time you mentored someone through a difficult technical challenge?|How do you balance giving answers versus letting juniors struggle productively?,5-6 minutes,7,"Leadership, Mentoring"
TCH001,Teacher,Behavioral,Self-Introduction & Communication,Easy,Tell me about yourself and why you chose teaching as a career.,"A strong candidate should introduce themselves professionally by summarizing their educational background, teaching experience (or training), and passion for education. They should explain why they chose teaching, emphasizing their desire to help students learn, grow, and achieve their goals. The answer should also mention relevant teaching skills, such as communication, patience, adaptability, and continuous learning.",Teaching passion|Education|Communication|Student development|Motivation,Gives a clear professional introduction|Explains motivation for becoming a teacher|Demonstrates enthusiasm for education|Connects personal strengths to teaching,What inspired you to become a teacher?|What do you enjoy most about teaching?,2-3 minutes,5,"Behavioral, Introduction"
TCH002,Teacher,Teaching Methodology,Lesson Planning,Hard,How do you prepare a lesson before entering the classroom?,"A well-prepared teacher starts by identifying clear learning objectives aligned with the curriculum. They assess students' prior knowledge, prepare engaging instructional materials, choose appropriate teaching methods, anticipate possible questions, and plan activities that encourage participation. They also prepare assessment methods to evaluate whether students achieved the lesson objectives.",Lesson objectives|Curriculum|Activities|Assessment|Preparation,Defines lesson objectives|Describes structured lesson planning|Includes student engagement|Mentions assessment,How do you adjust your lesson if students don't understand?|How do you keep students engaged?,3-4 minutes,7,"Teaching Methodology, Lesson Planning"
TCH003,Teacher,Classroom Management,Discipline,Hard,How do you handle disruptive students during class?,"An effective teacher remains calm and professional. They establish clear classroom rules from the beginning, address disruptive behavior respectfully, identify possible causes of the behavior, and apply consistent consequences when necessary. The teacher should avoid embarrassing students publicly and instead focus on maintaining a positive learning environment while supporting the student's improvement.",Classroom management|Respect|Rules|Positive discipline|Professionalism,Maintains professionalism|Uses positive discipline|Focuses on solving behavior rather than punishment|Supports a positive classroom environment,What if the behavior continues?|How would you involve parents?,3 minutes,8,"Classroom Management, Discipline"
TCH004,Teacher,Teaching Methodology,Student Engagement,Hard,How do you motivate students who are not interested in learning?,"A strong teacher identifies the reasons behind students' lack of motivation and adapts teaching methods to their interests and learning styles. They use interactive activities, real-life examples, group work, educational technology, positive reinforcement, and achievable goals to increase engagement. Building positive relationships with students also plays an important role in motivating them.",Motivation|Active learning|Engagement|Positive reinforcement|Learning styles,Identifies causes of low motivation|Suggests multiple engagement strategies|Demonstrates student-centered thinking,Can you give an example of a student you successfully re-engaged?|How do you measure whether a motivation strategy is working?,3-4 minutes,7,"Teaching Methodology, Engagement"
TCH005,Teacher,Assessment,Student Evaluation,Hard,How do you assess whether students have understood a lesson?,"Assessment should be continuous and use multiple methods, including classroom discussions, quizzes, assignments, projects, observations, and questioning techniques. A teacher should analyze assessment results to identify learning gaps and adjust future lessons accordingly.",Assessment|Feedback|Quiz|Observation|Learning outcomes,Uses multiple assessment methods|Connects assessment to lesson improvement|Focuses on student understanding,What do you do when most students perform poorly on an assessment?|How do you differentiate assessment for students at different levels?,3-4 minutes,7,Assessment
TCH006,Teacher,Communication,Parent Communication,Hard,How would you communicate with parents about a student's poor performance?,"The teacher should communicate respectfully and professionally, focusing on facts rather than opinions. They should explain the student's strengths as well as areas for improvement, provide specific examples, listen to parents' perspectives, and collaborate on an action plan to support the student's progress.",Parents|Communication|Collaboration|Student support,Demonstrates professionalism|Encourages collaboration|Focuses on solutions,How do you handle a parent who becomes defensive or upset?|How often do you communicate with parents about student progress?,3-4 minutes,7,"Communication, Parents"
TCH007,Teacher,Behavioral,Adaptability,Hard,Describe a time when a lesson did not go as planned. What did you do?,"The candidate should describe the situation, explain why the lesson was unsuccessful, describe the adjustments made during or after the lesson, and explain what they learned from the experience. Strong answers demonstrate flexibility, problem-solving, and reflective practice.",Adaptability|Reflection|Problem solving|Flexibility,Uses a structured example|Demonstrates adaptability|Explains lessons learned,How do you decide when to abandon a lesson plan mid-class?|What would you do differently next time?,3-4 minutes,7,"Behavioral, Adaptability"
TCH008,Teacher,Teaching Methodology,Technology Integration,Easy,How do you use technology in your classroom?,"Technology should enhance learning rather than replace good teaching. Teachers may use presentation software, interactive whiteboards, learning management systems, educational videos, quizzes, online collaboration tools, and AI-powered educational platforms to improve engagement and personalize learning.",Educational technology|LMS|Interactive learning|AI tools,Demonstrates familiarity with educational technology|Explains educational benefits|Gives practical examples,Which educational apps or platforms have you used?|How do you handle students without reliable access to technology at home?,2-3 minutes,5,"Technology, Teaching Methodology"
TCH009,Teacher,Classroom Management,Inclusive Education,Hard,How would you support students with different learning abilities in the same classroom?,"A teacher should differentiate instruction by adapting teaching methods, activities, and assessments to meet students' individual needs. They should provide additional support where necessary, encourage peer collaboration, and create an inclusive classroom where every student feels respected and capable of learning.",Differentiated instruction|Inclusion|Individual learning needs,Understands inclusive education|Uses differentiated teaching|Supports all learners,How do you work with a student who has an IEP or learning accommodation?|How do you balance the needs of advanced and struggling students in the same class?,3-4 minutes,8,"Inclusion, Classroom Management"
TCH010,Teacher,Ethics,Professional Responsibility,Medium,What qualities make an excellent teacher?,"An excellent teacher combines subject knowledge with strong communication, patience, empathy, classroom management, adaptability, organization, fairness, professionalism, and a commitment to lifelong learning. They continuously reflect on their teaching practices and strive to create a positive learning environment where every student can succeed.",Professionalism|Communication|Patience|Fairness|Lifelong learning,Identifies essential teaching qualities|Demonstrates understanding of professional ethics|Emphasizes student success and continuous improvement,"Which of these qualities do you consider your strongest?|Which quality do you find most challenging to maintain, and why?",3 minutes,6,"Ethics, Professional Qualities"
TCH011,Teacher,Teaching Methodology,Differentiated Instruction,Hard,How do you adapt your teaching methods for students with different learning styles?,"An effective teacher recognizes that students learn in different ways and adapts instruction accordingly. They may combine visual aids, verbal explanations, hands-on activities, group discussions, and digital resources to accommodate diverse learning preferences. The teacher regularly assesses student understanding and modifies instruction when necessary to ensure all students have equal opportunities to succeed.",Differentiated instruction|Learning styles|Adaptability|Student-centered learning,Understands diverse learning needs|Uses multiple teaching strategies|Focuses on student success|Demonstrates flexibility,Can you give an example from your teaching experience?|How do you evaluate whether your approach is effective?,3-4 minutes,8,"Teaching, Inclusion"
TCH012,Teacher,Assessment,Constructive Feedback,Hard,How do you provide constructive feedback to students?,"Constructive feedback should be timely, specific, respectful, and focused on improvement. A teacher should acknowledge students' strengths before discussing areas for development. Feedback should include practical suggestions that help students understand how they can improve rather than simply identifying mistakes.",Feedback|Improvement|Positive reinforcement|Student growth,Provides balanced feedback|Focuses on improvement|Encourages student confidence,How do you deliver feedback to a student who is easily discouraged?|How do you make sure feedback leads to actual improvement?,3-4 minutes,7,"Assessment, Feedback"
TCH013,Teacher,Classroom Management,Conflict Resolution,Hard,How would you handle a conflict between two students?,"The teacher should remain neutral, listen carefully to both students, identify the root cause of the conflict, encourage respectful communication, and help students find a fair solution. The teacher should reinforce classroom expectations and monitor future interactions to prevent similar issues.",Conflict resolution|Communication|Fairness|Respect,Maintains neutrality|Encourages respectful communication|Resolves conflicts constructively,What would you do if the conflict continued after your intervention?|When would you involve a parent or school counselor?,3-4 minutes,7,"Classroom Management, Conflict Resolution"
